Predicted Winner,Underdog
Duquesne,Coastal Car
SE Missouri St,Harvard
Creighton,Presbyterian
Lamar,Mississippi
Santa Clara,Cleveland St
Drexel,San Diego
Lamar,St Louis
Evansville,Illinois St
Brown,Bellarmine
Elon,Penn
SE Missouri St,SE Louisiana
California,South Alabama
New Hampshire,Le Moyne
Southern Utah,Sam Houston St
Brown,Quinnipiac
Manhattan,St Francis NY
Southern Univ,Florida A&M
Samford,Boston Univ
St Joseph's PA,Portland St
Troy,Bucknell
Morgan St,Chattanooga
Bryant,George Mason
SC Upstate,Utah Valley
Pepperdine,Ark Pine Bluff
Belmont,Grand Canyon
Wake Forest,Ark Pine Bluff
Cornell,Furman
N Colorado,S Illinois
Navy,Howard
Hofstra,F Dickinson
E Michigan,Jackson St
Morgan St,Illinois
North Texas,New Mexico St
Idaho St,E Kentucky
Ohio,Southern Utah
Drexel,Cornell
Montana St,Morris Brown
Detroit,SUNY Albany
St Thomas MN,Alcorn St
Howard,Notre Dame
Davidson,UT Arlington
NE Omaha,Belmont
North Texas,Colorado
Maine,Nevada
American Univ,Bradley
American Univ,Citadel
Georgia Tech,NE Illinois
Savannah St,Loyola-Chicago
Akron,Florida
Troy,VMI
Appalachian St,Tennessee St
Weber St,Niagara
Vanderbilt,E Michigan
Florida,Marshall
LIU Brooklyn,Northwestern LA
Mt St Mary's,W Carolina
Oregon St,UCF
N Kentucky,Maryland
Penn St,Richmond
Grambling,Wright St
Utica,IL Chicago
Bryant,Pacific
PFW,Duquesne
Jackson St,Tennessee St
MTSU,Wyoming
North Dakota,Radford
North Texas,Morehead St
Mt St Mary's,W Illinois
Coppin St,St Louis
F Dickinson,Old Dominion
Montana,Samford
Wyoming,Okla City
Morris Brown,Rhode Island
North Texas,Rhode Island
George Mason,Cal Baptist
St Peter's,Brown
Samford,Mt St Mary's
Santa Clara,Marshall
Kennesaw,Vanderbilt
MS Valley St,Southern Utah
Tennessee,Okla City
Mt St Mary's,William & Mary
Indiana St,Vanderbilt
Iona,Liberty
Alabama,Quinnipiac
Cincinnati,Fresno St
Indiana,Oklahoma
Princeton,Wofford
Duquesne,Santa Clara
Bryant,South Carolina
Tulane,Toledo
Chattanooga,Penn
McNeese St,Wofford
San Francisco,Citadel
Miami OH,Central Conn
Arizona St,Texas
Liberty,Alliant Intl
Morehead St,USC
Campbell,Indiana St
Creighton,Cal Poly
Belmont,Duke
San Francisco,Purdue
Michigan,IUPUI
Gardner Webb,South Carolina
Rhode Island,SIUE
Old Dominion,Kentucky
UC Santa Barbara,Duquesne
Jacksonville,UNC Greensboro
Kansas St,Loyola MD
IUPUI,DePaul
Portland,W Illinois
F Dickinson,Tennessee
North Alabama,UNC Wilmington
Pacific,Utah Tech
UC Irvine,Idaho St
St Francis PA,Texas St
WI Milwaukee,San Jose St
Kennesaw,Holy Cross
Colgate,Marshall
Duquesne,Arizona
CS Northridge,Mercyhurst
W Salem St,UTEP
Towson,Notre Dame
Missouri,MS Valley St
Ohio,Louisiana Tech
Arkansas St,S Carolina St
Richmond,Dartmouth
Charleston So,San Diego St
Baylor,Creighton
Pacific,USC
Wofford,E Kentucky
Gardner Webb,Longwood
TN Martin,Xavier
Siena,Akron
Oklahoma St,Appalachian St
St Joseph's PA,Vanderbilt
Robert Morris,Valparaiso
UC San Diego,Monmouth NJ
James Madison,Valparaiso
Penn,UT San Antonio
Hofstra,Penn St
Columbia,Dayton
IL Chicago,Bryant
Pacific,Fresno St
George Mason,Fresno St
Le Moyne,Hardin-Simmons
Lindenwood,Cal Baptist
Tennessee Tech,Illinois St
Col Charleston,Dartmouth
Dayton,Florida
Bryant,Iona
Butler,Michigan St
Loy Marymount,Niagara
Gardner Webb,NC A&T
Arizona,W Texas A&M
UAB,UC Irvine
Alcorn St,Washington
Marist,Charlotte
Charleston So,Santa Clara
UC Davis,New Mexico
Tulsa,Southern Univ
SIUE,Grand Canyon
Incarnate Word,St Louis
Villanova,Southern Indiana
Furman,Columbia
Chicago St,Nevada
McNeese St,Miami FL
Mercer,UCF
St Bonaventure,Southern Indiana
SIUE,Penn St
UT Arlington,UTEP
Fordham,California
NE Illinois,Incarnate Word
Alabama,Appalachian St
St Francis PA,Wichita St
Radford,SE Missouri St
Radford,Clemson
Lipscomb,CS Fullerton
Morgan St,UC Irvine
Utica,St Francis NY
Utah,Bellarmine
Tarleton St,Ark Little Rock
Rutgers,UC San Diego
Radford,LIU Brooklyn
CS Fullerton,Lehigh
Loyola MD,St Francis NY
E Kentucky,Houston
Tennessee St,Radford
Longwood,Tennessee St
Georgia Tech,TCU
Quinnipiac,Marist
Loyola-Chicago,SC Upstate
Houston,TCU
Virginia,Florida St
Okla City,Robert Morris
James Madison,Bowling Green
Alabama,WKU
Mississippi St,Southern Miss
St Bonaventure,Siena
TAM C. Christi,Texas
N Illinois,Maine
Northwestern,Michigan
Montana St,UNLV
Delaware,Kansas
Xavier,Belmont
MS Valley St,Kennesaw
Texas St,Texas A&M
Oregon,Maine
Cornell,Portland St
Austin Peay,Jacksonville
Ark Pine Bluff,CS Sacramento
San Diego,Lamar
UNC Greensboro,West Georgia
Ark Pine Bluff,Northern Iowa
TN Martin,Drake
Alabama St,FGCU
Ga Southern,New Orleans
Valparaiso,Ohio St
W Texas A&M,High Point
NJIT,Lamar
MS Valley St,Tulsa
UT San Antonio,Butler
Utah Valley,Jacksonville
Alliant Intl,Hartford
Rutgers,St Peter's
Southern Utah,Liberty
Seton Hall,South Dakota
Radford,Incarnate Word
Texas Tech,FGCU
LSU,Kansas
Mississippi St,Nicholls St
VCU,Purdue
Grambling,Ohio
East Texas A&M,SIUE
Cal Baptist,Ball St
Central Conn,Northwestern LA
Arizona St,Utah St
Alcorn St,Cincinnati
Princeton,Tennessee
Dartmouth,Lafayette
Ohio,Arkansas
MD E Shore,UNC Asheville
Georgia St,San Diego St
Northwestern LA,CS Sacramento
Boston College,Colorado St
Grand Canyon,Drexel
Austin Peay,Norfolk St
St Peter's,Northwestern LA
Monmouth NJ,Charlotte
St Bonaventure,Fordham
Weber St,Santa Clara
W Illinois,Alabama A&M
Bradley,Quinnipiac
UC San Diego,TAM C. Christi
Texas A&M,FL Atlantic
Hardin-Simmons,Texas St
St Peter's,Furman
N Kentucky,St Mary's CA
Central Conn,USC
Ark Little Rock,Presbyterian
Monmouth NJ,Chattanooga
Drake,Georgia Tech
Nebraska,Ohio St
Colgate,SIUE
New Hampshire,Savannah St
Ohio,CS Sacramento
East Texas A&M,San Jose St
Tennessee Tech,Loyola-Chicago
Penn,Air Force
Bellarmine,Sam Houston St
Washington St,Missouri St
Morris Brown,Alabama A&M
Michigan St,TN Martin
North Texas,Bradley
South Florida,Air Force
Yale,St Mary's CA
FGCU,Kennesaw
Davidson,Missouri
West Virginia,Niagara
Augusta,ULM
Kentucky,Penn
Villanova,UTRGV
Air Force,Idaho
Army,NC A&T
Notre Dame,Rutgers
Texas St,Ohio St
St Francis PA,St Mary's CA
Marist,Howard
Minnesota,Denver
Utah Tech,Ark Pine Bluff
Utah Tech,Campbell
UNC Wilmington,East Carolina
MS Valley St,St Louis
New Orleans,Fordham
La Salle,Missouri
UT San Antonio,Mt St Mary's
Coppin St,Evansville
Lindenwood,West Georgia
Tennessee Tech,Rhode Island
Bradley,Seattle
UAB,Augusta
Brooklyn,CS Bakersfield
Army,Youngstown St
Mt St Mary's,Southern Miss
Sacred Heart,Morgan St
Sam Houston St,Pacific
St Francis PA,Brown
LIU Brooklyn,Youngstown St
Seton Hall,Fairfield
Wright St,Dartmouth
St Thomas MN,W Salem St
Illinois St,Weber St
Davidson,UNC Asheville
Oklahoma St,S Carolina St
UAB,Abilene Chr
CS Sacramento,S Illinois
Nevada,W Illinois
E Kentucky,Georgia
Evansville,N Illinois
Michigan,Mercer
Oklahoma,Massachusetts
Montana St,ETSU
Arkansas,St Francis PA
W Texas A&M,Quinnipiac
Georgia St,Citadel
Houston Chr,S Illinois
Drexel,Nicholls St
Stonehill,UNC Wilmington
Kennesaw,Utah Tech
Morehead St,Northwestern LA
Boston Univ,Florida Intl
Grand Canyon,Kent
Vanderbilt,Wofford
Maryland,Florida
Georgia Tech,Utah St
South Carolina,UNC Wilmington
Southern Indiana,Tennessee St
Utah St,Cincinnati
Wisconsin,Buffalo
UC Irvine,USC
Vermont,Belmont
Colgate,UNLV
Quinnipiac,Southern Univ
Georgetown,Weber St
Wofford,Creighton
Okla City,La Salle
TX Southern,Missouri St
Rider,Oregon St
Stetson,West Georgia
Denver,Pittsburgh
Elon,Kentucky
S Illinois,F Dickinson
CS Fullerton,Notre Dame
Cal Poly,Marshall
James Madison,Alliant Intl
Vanderbilt,Montana St
Jacksonville St,Utica
Bellarmine,Davidson
Mississippi,E Michigan
San Diego,Loyola-Chicago
George Mason,Louisiana Tech
N Colorado,Houston Chr
Robert Morris,UNLV
Brooklyn,Seton Hall
East Carolina,Appalachian St
North Dakota,North Florida
DePaul,IUPUI
Kennesaw,Austin Peay
Okla City,California
W Illinois,Liberty
NE Illinois,Missouri
Stony Brook,Connecticut
Purdue,Ohio St
UMBC,Ohio
La Salle,Santa Clara
Kansas,Cincinnati
Oregon,MD E Shore
Holy Cross,Fordham
North Dakota,TX Southern
Kent,Marist
Louisville,Missouri St
Connecticut,Providence
Akron,Cincinnati
UAB,Texas St
Bellarmine,Bethune-Cookman
UNLV,Southern Utah
North Florida,Texas St
Hardin-Simmons,Georgia St
Boston College,New Orleans
Drake,Norfolk St
Texas Tech,Norfolk St
Tennessee Tech,Georgia St
BYU,UC Davis
Lafayette,San Diego
Tarleton St,Detroit
W Salem St,Towson
Northern Iowa,Samford
Kansas St,Pacific
Virginia,Kennesaw
Georgetown,Tennessee St
Clemson,NE Omaha
Monmouth NJ,Charlotte
Utah Valley,St Bonaventure
UT San Antonio,Le Moyne
E Michigan,Princeton
Cincinnati,Pepperdine
La Salle,Longwood
Wright St,George Mason
Savannah St,Iona
St Joseph's PA,Tennessee Tech
Incarnate Word,Robert Morris
N Kentucky,Siena
Murray St,American Univ
DePaul,Grand Canyon
UCF,Weber St
N Kentucky,Ark Little Rock
TN Martin,NC A&T
Portland St,North Texas
G Washington,WI Milwaukee
Villanova,Hofstra
Marist,UMBC
BYU,UC Riverside
Texas Tech,E Kentucky
Campbell,Wisconsin
Cleveland St,Marquette
Bryant,Iona
High Point,McNeese St
SE Missouri St,Ark Pine Bluff
Tulane,Brown
High Point,LIU Brooklyn
E Kentucky,E Illinois
SMU,Wright St
Ohio,UTEP
E Illinois,Kentucky
Coppin St,Fresno St
Fairfield,UMBC
Weber St,New Mexico
Troy,Davidson
NE Omaha,TAM C. Christi
Denver,Detroit
Virginia,Loy Marymount
Maryland,Jackson St
SC Upstate,Tennessee Tech
CS Bakersfield,TAM C. Christi
S Illinois,CS Bakersfield
Houston Chr,SE Missouri St
Long Beach St,Lindenwood
UC Riverside,UTEP
Canisius,MTSU
CS Bakersfield,Miami OH
Morehead St,UC Davis
Rutgers,Austin Peay
WI Milwaukee,Coastal Car
Lafayette,TCU
Fordham,Arizona
UC San Diego,Loyola MD
Texas Tech,UNC Greensboro
Iowa,Missouri St
Southern Univ,Delaware
Kentucky,Iowa St
St Bonaventure,W Carolina
SMU,Youngstown St
UC San Diego,Dayton
Wagner,Tulsa
Centenary,Houston
Weber St,Utica
Richmond,Central Conn
Villanova,NC State
Wichita St,Lipscomb
Alabama,W Texas A&M
Vermont,NC Central
St John's,Syracuse
Texas,Lindenwood
North Carolina,Drake
Pacific,Idaho
South Carolina,N Illinois
Rider,Hawaii
Cal Poly,Oklahoma
PFW,C Michigan
S Illinois,FL Atlantic
Montana,UTRGV
Winthrop,Oakland
ULM,Princeton
Florida Intl,Pittsburgh
Jacksonville St,Gardner Webb
N Colorado,Ball St
North Alabama,St Thomas MN
Oklahoma,San Diego St
Grambling,Maryland
Loyola MD,Mississippi St
Kennesaw,Wagner
Princeton,Birmingham So
Massachusetts,St Louis
St Louis,West Georgia
Elon,Oakland
Rhode Island,Lehigh
E Michigan,Alabama A&M
Southern Utah,Virginia Tech
St Louis,TN Martin
Jackson St,Alcorn St
Alabama,Kansas St
Dartmouth,Coastal Car
Texas,West Virginia
Utah St,Louisville
Lafayette,St John's
Denver,Lafayette
South Florida,North Florida
Delaware St,Maryland
Notre Dame,Pacific
Oklahoma St,MD E Shore
Illinois,Southern Miss
Iona,Seton Hall
Texas Tech,Jacksonville
Jackson St,Duquesne
UC Davis,Louisiana
Delaware St,Utah Tech
BYU,Northeastern
Georgia St,TAM C. Christi
Missouri St,Virginia Tech
North Florida,USC
Maryland,Villanova
Grand Canyon,LIU Brooklyn
Columbia,CS Bakersfield
WI Green Bay,Akron
Cornell,Oklahoma St
UNC Greensboro,Kent
Kansas,Weber St
Northwestern,Minnesota
Northern Arizona,Stony Brook
SUNY Albany,Southern Miss
Utah St,Sam Houston St
Rice,Richmond
North Florida,FGCU
Drake,Grand Canyon
Harvard,Charlotte
Cal Poly,Birmingham So
Bryant,Dayton
New Mexico,Marquette
Columbia,Georgetown
Illinois,Rider
Col Charleston,Portland St
Fordham,Creighton
Wyoming,East Texas A&M
Ga Southern,Nicholls St
Montana St,Missouri
North Florida,Tulsa
Norfolk St,Cleveland St
Stetson,Old Dominion
TAM C. Christi,UT San Antonio
Norfolk St,Charleston So
Tarleton St,Penn
UC Santa Barbara,Radford
Robert Morris,ETSU
Coastal Car,Penn St
Murray St,Cleveland St
Temple,Illinois
Temple,Northern Arizona
Rhode Island,Northwestern
St Mary's CA,UNLV
William & Mary,Ohio
SIUE,NC Central
Sacred Heart,Armstrong St
Rhode Island,St Francis PA
UC Riverside,Butler
Xavier,Toledo
N Colorado,Southern Indiana
Elon,Louisville
IUPUI,Campbell
Ohio St,Texas
W Illinois,Marist
Mt St Mary's,Presbyterian
Rider,Notre Dame
Wisconsin,Oregon St
Oklahoma St,USC
Rutgers,Abilene Chr
Holy Cross,FL Atlantic
Tennessee,CS Northridge
Florida Intl,Baylor
Mercer,Texas St
Houston Chr,George Mason
Quinnipiac,Portland
C Michigan,Colorado St
Mercyhurst,Miami OH
Pacific,New Mexico St
St Francis NY,William & Mary
Idaho St,Wofford
Robert Morris,Belmont
Okla City,Savannah St
Binghamton,St Louis
Old Dominion,DePaul
Niagara,SUNY Albany
MD E Shore,St Bonaventure
UNLV,Pepperdine
SUNY Albany,Purdue
Gardner Webb,Indiana St
Morgan St,Pepperdine
SUNY Albany,WI Milwaukee
Radford,Arizona St
C Michigan,Northern Arizona
Memphis,Georgia Tech
FGCU,NC A&T
Georgia St,Duke
UC San Diego,Memphis
Columbia,E Washington
Okla City,Arizona St
W Texas A&M,Oregon St
Navy,Stony Brook
Michigan St,Morris Brown
Savannah St,Colorado St
Alabama St,Mississippi
Lehigh,Weber St
Florida St,Campbell
Mt St Mary's,UNC Wilmington
Central Conn,Drexel
Towson,South Florida
UTEP,Winthrop
Georgetown,Idaho St
Cornell,Auburn
MS Valley St,Ga Southern
Drexel,Long Beach St
Long Beach St,Oklahoma
Ball St,UNC Asheville
Loy Marymount,Kansas
Alabama,Auburn
California,Princeton
High Point,San Diego
VCU,CS Fullerton
Bellarmine,SE Louisiana
Missouri,Delaware St
Loyola-Chicago,LIU Brooklyn
Montana St,Florida A&M
Texas Tech,North Florida
Southern Utah,Clemson
Pacific,George Mason
Chicago St,Lamar
St Francis PA,NE Illinois
Purdue,Lehigh
Elon,Utah St
Utica,Manhattan
Fordham,Georgia St
ETSU,St Mary's CA
Hawaii,Rice
East Texas A&M,Delaware
Evansville,USC
Stonehill,Sam Houston St
Idaho St,N Illinois
Purdue,Texas Tech
Liberty,UC Riverside
Cleveland St,Vanderbilt
Syracuse,NE Illinois
Minnesota,Montana St
SUNY Albany,Penn
North Florida,Le Moyne
E Illinois,Toledo
Ohio St,Dartmouth
St Peter's,CS Northridge
La Salle,Okla City
San Diego,Louisiana Tech
Penn,Idaho
Drexel,Houston
Utah St,Clemson
Long Beach St,Coastal Car
Idaho,New Mexico St
Portland St,Clemson
Central Conn,San Diego
NC Central,CS Bakersfield
St Peter's,NC Central
S Illinois,High Point
Alabama,Princeton
South Carolina,Rider
Wyoming,West Georgia
Texas St,Prairie View
Houston,Boise St
Le Moyne,Morehead St
TN Martin,Ark Little Rock
Minnesota,Chicago St
Air Force,Savannah St
NE Omaha,TX Southern
Col Charleston,TX Southern
Delaware,E Kentucky
Cleveland St,Alabama A&M
C Michigan,Miami FL
E Washington,IUPUI
Hampton,Chicago St
UNLV,Portland
Ark Little Rock,Louisville
NC Central,NE Omaha
Jackson St,Presbyterian
California,Bellarmine
New Mexico,Mississippi St
New Orleans,Abilene Chr
Campbell,Arizona St
Purdue,Col Charleston
ULM,Utah St
William & Mary,Siena
Robert Morris,Boise St
UNC Wilmington,Stonehill
W Texas A&M,Grand Canyon
St Francis NY,Belmont
Toledo,San Diego
Missouri St,Southern Miss
Tarleton St,UT Arlington
Georgia Tech,S Illinois
Jacksonville St,Davidson
American Univ,Fordham
Butler,St Francis NY
Miami FL,UCF
Massachusetts,Sacred Heart
Providence,Murray St
West Virginia,N Colorado
Tarleton St,DePaul
Winthrop,Dayton
Oakland,Ball St
Virginia Tech,G Washington
Cent Arkansas,Bethune-Cookman
Abilene Chr,UC Santa Barbara
Princeton,Georgetown
ETSU,Hartford
Michigan St,BYU
Texas,C Michigan
Missouri St,George Mason
Air Force,W Salem St
Hampton,Le Moyne
Rice,Cal Poly
Hartford,Queens NC
Texas Tech,UCF
Jacksonville,Samford
Tennessee,Arkansas
E Illinois,W Carolina
Indiana,Long Beach St
Abilene Chr,Fairfield
Ark Pine Bluff,Colgate
Marquette,Wofford
Central Conn,Radford
Sacred Heart,Campbell
N Colorado,Southern Indiana
Army,NJIT
Stonehill,Presbyterian
Seton Hall,Colgate
SE Missouri St,Ga Southern
Wichita St,Dayton
Iowa St,Arkansas
W Carolina,San Diego St
Seattle,Nicholls St
Penn St,Alabama A&M
WKU,Duke
MA Lowell,UTEP
Central Conn,Boston Univ
Utah Valley,Central Conn
La Salle,MA Lowell
Fairfield,Houston
Chicago St,Queens NC
W Salem St,MTSU
Temple,N Kentucky
Weber St,Notre Dame
MD E Shore,Fresno St
Long Beach St,Northwestern LA
Holy Cross,McNeese St
Missouri St,Northern Iowa
Bucknell,Idaho St
Florida A&M,Winthrop
Arkansas St,Cal Baptist
William & Mary,ULM
Buffalo,Tulsa
Delaware,Colgate
Hardin-Simmons,Utah Tech
Seton Hall,Jacksonville St
NJIT,St Bonaventure
Troy,Iona
Texas St,Fairfield
Seton Hall,William & Mary
SF Austin,Norfolk St
Towson,Youngstown St
SC Upstate,Iowa
Ark Pine Bluff,Michigan St
W Carolina,UTRGV
Norfolk St,TX Southern
Hartford,NC A&T
Portland St,Bryant
Montana,New Mexico St
Liberty,Valparaiso
Savannah St,Iowa
Fairfield,Bellarmine
Incarnate Word,St Joseph's PA
San Diego St,Loyola-Chicago
Loy Marymount,New Orleans
South Dakota,Alabama St
Iowa St,Boise St
NE Illinois,Hawaii
Bryant,UMBC
Okla City,Coastal Car
E Illinois,Brown
MA Lowell,CS Bakersfield
Jackson St,BYU
Georgetown,Fordham
North Texas,Penn
SE Louisiana,Kansas St
E Kentucky,FL Atlantic
Memphis,SE Missouri St
Brown,Alabama A&M
Presbyterian,LSU
UC Riverside,Grambling
UC Davis,E Illinois
California,Florida
Cincinnati,San Jose St
Utah St,Washington St
Virginia,St Francis PA
Illinois,Duquesne
St Louis,Elon
Maryland,UT Arlington
Sam Houston St,Brown
Oregon,North Dakota
Iowa St,Wright St
Bucknell,Mississippi St
Coastal Car,Fairfield
NC A&T,Cal Poly
Augusta,Chicago St
Long Beach St,Valparaiso
Georgetown,Idaho St
Valparaiso,Maryland
Utah,Florida A&M
Hartford,Northern Arizona
UC San Diego,Southern Indiana
NJIT,Col Charleston
Armstrong St,Alabama
G Washington,UC San Diego
Alcorn St,Hampton
Kentucky,Utah Tech
LIU Brooklyn,St Louis
Arizona St,SIUE
North Florida,California
Indiana St,Tennessee St
Okla City,Air Force
Georgetown,Houston Chr
American Univ,Illinois
Brown,Rhode Island
Canisius,Wofford
James Madison,Pittsburgh
Chicago St,UT Arlington
TCU,Georgia St
Penn,Michigan
Northeastern,UT San Antonio
UC Riverside,Cal Baptist
South Alabama,Evansville
Youngstown St,Weber St
Texas,Kennesaw
New Orleans,NJIT
TAM C. Christi,SE Louisiana
Wofford,Central Conn
Stetson,ULM
Missouri,Butler
Hawaii,Florida St
Stonehill,St Peter's
American Univ,UC Irvine
Boston Univ,Jacksonville
St Bonaventure,Cal Baptist
San Diego St,Seton Hall
Valparaiso,Drexel
Southern Indiana,Oklahoma St
Lafayette,N Kentucky
Brown,Colorado St
Rice,Marist
Charlotte,TX Southern
Seattle,FGCU
W Carolina,UAB
Bellarmine,Bethune-Cookman
Bowling Green,Alabama A&M
TCU,Manhattan
Denver,Wyoming
Sam Houston St,WI Green Bay
MTSU,New Mexico
Duquesne,Tennessee St
St John's,Indiana
Duke,Cent Arkansas
San Diego,Drake
William & Mary,Central Conn
SMU,South Alabama
South Alabama,UC Santa Barbara
Ga Southern,SE Louisiana
N Colorado,Winthrop
VMI,TCU
Wagner,Bowling Green
W Carolina,North Alabama
Colorado St,Utah Valley
Stonehill,Savannah St
Alabama A&M,Central Conn
Charlotte,Pacific
Samford,Georgia
Illinois St,Birmingham So
Miami FL,E Kentucky
SE Missouri St,Duquesne
MD E Shore,Northern Iowa
Penn,Charleston So
Connecticut,St Thomas MN
Binghamton,UT San Antonio
Hawaii,Rice
Maryland,West Georgia
William & Mary,UCF
Alabama A&M,Grambling
Arizona,Cornell
Lafayette,ULM
Bryant,Weber St
East Texas A&M,Le Moyne
MS Valley St,TAM C. Christi
Princeton,Tennessee
UC Irvine,UT Arlington
Princeton,Robert Morris
Bucknell,Creighton
Northwestern LA,Grand Canyon
Northwestern LA,Gardner Webb
Hampton,Princeton
Oregon,UT San Antonio
Boston Univ,Seattle
Northeastern,Central Conn
Duquesne,San Jose St
Vermont,Kansas St
UNC Greensboro,SIUE
Navy,Marist
Florida A&M,Washington St
Minnesota,Wisconsin
Delaware,Lipscomb
Mississippi,Bradley
Dartmouth,Alabama
Cornell,Longwood
Troy,Pittsburgh
UCF,Houston
Northwestern,Tarleton St
Cincinnati,N Colorado
WI Milwaukee,IUPUI
Okla City,McNeese St
Tulsa,VMI
SMU,W Salem St
Montana,Ohio St
Jacksonville St,Augusta
Kennesaw,Alliant Intl
Central Conn,S Dakota St
WKU,Boston Univ
Monmouth NJ,Toledo
Washington,FGCU
Towson,Southern Utah
La Salle,Central Conn
Texas A&M,Weber St
Birmingham So,Lafayette
Arizona,IUPUI
American Univ,Alabama
Portland,Morgan St
Sam Houston St,NJIT
TN Martin,Idaho St
Massachusetts,San Francisco
Creighton,Monmouth NJ
St Peter's,Akron
PFW,Texas A&M
Texas A&M,San Diego
Colorado St,Indiana
Presbyterian,IUPUI
St Thomas MN,IL Chicago
Marist,SIUE
NC A&T,Stonehill
SC Upstate,Tarleton St
IL Chicago,Tulane
Drexel,Missouri KC
Portland St,MS Valley St
UCF,Colorado
Washington,Utica
Denver,Northern Arizona
N Colorado,Utica
Morehead St,St Peter's
Oklahoma St,North Carolina
NJIT,Bethune-Cookman
Washington St,Missouri
Marist,San Jose St
St Thomas MN,Southern Miss
Clemson,F Dickinson
Jacksonville,Oral Roberts
Michigan,Campbell
Duquesne,MD E Shore
Wagner,Florida
Georgia St,UC Davis
WI Green Bay,Gardner Webb
Washington St,Okla City
Southern Utah,Southern Miss
Dartmouth,Clemson
Colorado St,Montana
Seton Hall,Quinnipiac
Oklahoma St,NE Illinois
Northern Arizona,Hardin-Simmons
ETSU,Massachusetts
Appalachian St,Quinnipiac
Bethune-Cookman,UC Riverside
Virginia Tech,Utah
LIU Brooklyn,West Georgia
Kentucky,Marquette
St Francis NY,Georgia Tech
North Alabama,Lafayette
Southern Utah,Ball St
San Diego St,LSU
Marist,Chicago St
Harvard,ULM
Purdue,WI Milwaukee
St Bonaventure,Kentucky
SE Louisiana,West Georgia
Dartmouth,E Michigan
Toledo,Michigan
Georgia,Idaho
Arkansas St,UNC Greensboro
Nebraska,Campbell
UC Riverside,Loy Marymount
Morris Brown,C Michigan
Duke,Utah Tech
Cleveland St,Miami FL
S Dakota St,CS Northridge
Campbell,NJIT
Auburn,S Carolina St
St Louis,Army
Memphis,Coastal Car
Notre Dame,Oregon
Colgate,Kansas St
Seattle,Oklahoma St
Cent Arkansas,Syracuse
Long Beach St,Abilene Chr
Wake Forest,UTEP
Colorado,North Dakota
UMBC,Sacred Heart
Houston Chr,MS Valley St
Bradley,Stetson
Lipscomb,Seattle
San Diego,North Alabama
CS Northridge,Illinois St
WKU,SF Austin
Ark Little Rock,Nevada
Portland St,FGCU
Utica,Oklahoma St
